,SPY buy-and-hold,Monthly equal weight,Trend inverse-vol proxy,Sparse tangent proxy
2018-01-02,0.999500,0.999500,0.999500,0.999500
2018-01-03,1.005822,1.003469,1.003469,1.005822
2018-01-04,1.010062,1.005182,1.005182,1.010062
2018-01-05,1.016793,1.007551,1.007551,1.016793
2018-01-08,1.018652,1.009035,1.009035,1.018652
2018-01-09,1.020958,1.006462,1.006462,1.020958
2018-01-10,1.019396,1.005418,1.005418,1.019396
2018-01-11,1.026833,1.010874,1.010874,1.026833
2018-01-12,1.033527,1.013760,1.013760,1.033527
2018-01-16,1.029994,1.010932,1.010932,1.029994
2018-01-17,1.039812,1.014307,1.014307,1.039812
2018-01-18,1.038064,1.011117,1.011117,1.038064
2018-01-19,1.042787,1.014457,1.014457,1.042787
2018-01-22,1.051265,1.018113,1.018113,1.051265
2018-01-23,1.053497,1.021546,1.021546,1.053497
2018-01-24,1.053088,1.018999,1.018999,1.053088
2018-01-25,1.053534,1.019313,1.019313,1.053534
2018-01-26,1.065732,1.023316,1.023316,1.065732
2018-01-29,1.058666,1.018775,1.018775,1.058666
2018-01-30,1.047807,1.012376,1.012376,1.047807
2018-01-31,1.048328,1.014166,1.014166,1.048328
2018-02-01,1.047138,1.010569,1.010569,1.047138
2018-02-02,1.024342,0.998479,0.998479,1.024342
2018-02-05,0.981501,0.983093,0.983093,0.981501
2018-02-06,1.000839,0.989752,0.989752,1.000839
2018-02-07,0.995409,0.985898,0.985898,0.995409
2018-02-08,0.958073,0.969714,0.969714,0.958073
2018-02-09,0.972465,0.973790,0.973790,0.972465
2018-02-12,0.986745,0.981186,0.981186,0.986745
2018-02-13,0.989199,0.982704,0.982704,0.989199
2018-02-14,1.002550,0.989582,0.989582,1.002550
2018-02-15,1.015342,0.996630,0.996630,1.015342
2018-02-16,1.015639,0.998392,0.998392,1.015639
2018-02-20,1.009280,0.994491,0.994491,1.009280
2018-02-21,1.004260,0.991067,0.991067,1.004260
2018-02-22,1.005562,0.991758,0.991758,1.005562
2018-02-23,1.021590,1.000994,1.000994,1.021590
2018-02-26,1.033453,1.005937,1.005937,1.033453
2018-02-27,1.020548,0.999136,0.999136,1.020548
2018-02-28,1.010210,0.995483,0.995483,1.010210
2018-03-01,0.995521,0.989973,0.989973,0.995521
2018-03-02,1.000653,0.993995,0.993995,1.000653
2018-03-05,1.012218,0.997816,0.997816,1.012218
2018-03-06,1.014785,1.001838,1.001838,1.014785
2018-03-07,1.014413,1.001846,1.001846,1.014413
2018-03-08,1.019321,1.004577,1.004577,1.019321
2018-03-09,1.037060,1.011717,1.011717,1.037060
2018-03-12,1.035758,1.012987,1.012987,1.035758
2018-03-13,1.029065,1.009540,1.009540,1.029065
2018-03-14,1.023784,1.009151,1.009151,1.023784
2018-03-15,1.022668,1.007860,1.007860,1.022668
2018-03-16,1.023777,1.008203,1.008203,1.023777
2018-03-19,1.009925,1.000413,1.000413,1.009925
2018-03-20,1.011643,1.000991,1.000991,1.011643
2018-03-21,1.009701,1.002484,1.002484,1.009701
2018-03-22,0.984461,0.992428,0.992428,0.984461
2018-03-23,0.963478,0.983660,0.983660,0.963478
2018-03-26,0.989838,0.995877,0.995877,0.989838
2018-03-27,0.972999,0.987404,0.987404,0.972999
2018-03-28,0.970124,0.984983,0.984983,0.970124
2018-03-29,0.982520,0.991879,0.991879,0.982520
2018-04-02,0.961313,0.982522,0.982522,0.961313
2018-04-03,0.973634,0.986328,0.986328,0.973634
2018-04-04,0.984051,0.991979,0.991979,0.984051
2018-04-05,0.991817,0.993977,0.993977,0.991817
2018-04-06,0.969713,0.985642,0.985642,0.969713
2018-04-09,0.974493,0.988374,0.988374,0.974493
2018-04-10,0.989987,0.996630,0.996630,0.989987
2018-04-11,0.984797,0.996892,0.996892,0.984797
2018-04-12,0.992899,0.998886,0.998886,0.992899
2018-04-13,0.989987,0.998291,0.998291,0.989987
2018-04-16,0.998127,1.001889,1.001889,0.998127
2018-04-17,1.008805,1.008735,1.008735,1.008805
2018-04-18,1.009552,1.008674,1.008674,1.009552
2018-04-19,1.003951,1.004023,1.004023,1.003951
2018-04-20,0.995438,0.998068,0.998068,0.995438
2018-04-23,0.995289,0.996881,0.996881,0.995289
2018-04-24,0.981885,0.990629,0.990629,0.981885
2018-04-25,0.984312,0.989712,0.989712,0.984312
2018-04-26,0.994318,0.996429,0.996429,0.994318
2018-04-27,0.995252,0.997913,0.997913,0.995252
2018-04-30,0.987598,0.994248,0.994248,0.987598
2018-05-01,0.989352,0.996349,0.996349,0.989352
2018-05-02,0.982707,0.995465,0.995465,0.982707
2018-05-03,0.980541,0.995106,0.995106,0.980541
2018-05-04,0.993236,1.002184,1.002184,0.993236
2018-05-07,0.996596,1.005322,1.005322,0.996596
2018-05-08,0.996596,1.006099,1.006099,0.996596
2018-05-09,1.006229,1.008939,1.008939,1.006229
2018-05-10,1.015637,1.014472,1.014472,1.015637
2018-05-11,1.018737,1.014930,1.014930,1.018737
2018-05-14,1.019222,1.013567,1.013567,1.019222
2018-05-15,1.012203,1.007219,1.007219,1.012203
2018-05-16,1.016459,1.010118,1.010118,1.016459
2018-05-17,1.015600,1.009737,1.009737,1.015600
2018-05-18,1.013061,1.010207,1.010207,1.013061
2018-05-21,1.020678,1.013344,1.013344,1.020678
2018-05-22,1.017840,1.011402,1.011402,1.017840
2018-05-23,1.020641,1.015124,1.015124,1.020641
2018-05-24,1.018550,1.017064,1.017064,1.018550
2018-05-25,1.016123,1.017534,1.017534,1.016123
2018-05-29,1.004437,1.018531,1.018531,1.004437
