,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-01-02,236.562149,150.222198,138.884369,99.093872,125.150002,56.092472,20.009974
2018-01-03,238.058456,151.681824,139.028839,99.567703,124.820000,56.362213,20.085232
2018-01-04,239.061859,151.947159,139.398819,99.551941,125.459999,56.458508,20.018337
2018-01-05,240.654953,153.473160,139.687561,99.267609,125.330002,56.497086,20.035059
2018-01-08,241.095123,154.070358,139.904129,99.204483,125.309998,56.452122,20.127041
2018-01-09,241.640747,154.079834,139.714661,97.877861,124.730003,56.278687,20.168852
2018-01-10,241.271088,153.719604,139.732681,97.759392,125.029999,56.156700,20.118679
2018-01-11,243.031311,154.771683,142.133148,98.162132,125.440002,56.342941,20.035059
2018-01-12,244.615692,155.909149,142.728790,98.327942,126.959999,56.246605,19.826014
2018-01-16,243.779572,155.463669,140.905884,98.738579,127.169998,56.214489,19.717308
2018-01-17,246.103210,157.141312,142.241470,98.604294,126.139999,56.220913,19.767479
2018-01-18,245.689560,157.169754,141.266800,97.688309,125.860001,56.163105,19.742395
2018-01-19,246.807251,157.662598,143.125839,97.175064,126.419998,56.220913,19.775843
2018-01-22,248.814026,159.349808,143.892883,97.269821,126.650002,56.272289,19.708946
2018-01-23,249.342270,160.667267,144.353195,97.688309,127.279999,56.439251,19.658775
2018-01-24,249.245361,159.624680,143.459732,97.159248,128.830002,56.355785,19.466454
2018-01-25,249.350952,159.567764,143.513916,97.956787,127.970001,56.317226,19.491537
2018-01-26,252.237930,162.013184,144.028259,97.593567,128.070007,56.362213,19.449730
2018-01-29,250.565582,161.226501,143.216110,96.914467,127.349998,56.163105,19.499899
2018-01-30,247.995499,159.899521,141.844406,96.345894,126.800003,55.970417,19.466454
2018-01-31,248.118729,160.563049,141.104416,96.914467,127.650002,56.066765,19.441368
2018-02-01,247.837036,159.198090,141.546570,95.509903,128.070007,55.960983,19.341024
2018-02-02,242.441757,156.022903,138.821213,94.623672,126.389999,55.606297,19.458092
2018-02-05,232.302170,149.871460,133.487854,95.517807,126.709999,55.296703,19.541710
2018-02-06,236.879105,153.842880,135.085129,94.924347,125.379997,55.632095,19.583517
2018-02-07,235.593979,151.852402,135.220520,94.022240,124.790001,55.425709,19.734034
2018-02-08,226.757111,145.445053,131.249847,93.919380,124.980003,54.941998,19.734034
2018-02-09,230.163376,147.956833,132.450058,93.325951,124.769997,54.787209,19.750755
2018-02-12,233.543213,150.582352,133.704376,93.737411,125.370003,55.161297,19.683861
2018-02-13,234.124084,151.359512,133.993210,94.156738,126.080002,54.987133,19.575155
2018-02-14,237.283951,154.193588,136.402664,93.112236,128.229996,55.083900,19.424643
2018-02-15,240.311661,157.056015,137.891724,93.428764,128.380005,55.528889,19.341024
2018-02-16,240.382050,156.354614,138.379028,93.935204,127.959999,55.754604,19.474815
2018-02-20,238.876999,156.667450,137.241989,93.523743,126.239998,55.561138,19.600241
2018-02-21,237.688751,156.221939,137.386368,92.376328,125.660004,55.309608,19.675501
2018-02-22,237.996796,156.202972,137.169815,92.653305,126.300003,55.348328,19.608604
2018-02-23,241.790344,159.397141,138.956635,93.476265,126.139999,55.715916,19.650412
2018-02-26,244.598068,161.510818,139.868088,93.507957,126.449997,55.812675,19.625328
2018-02-27,241.543884,159.510880,137.855667,93.373413,125.129997,55.664307,19.750755
2018-02-28,239.097015,158.487289,135.680756,93.966812,125.000000,55.580463,19.809288
2018-03-01,235.620392,155.899658,135.319839,94.608330,124.720001,55.212078,19.742395
2018-03-02,236.834991,157.330933,137.485626,93.839188,125.389999,55.522861,19.658775
2018-03-05,239.572357,159.074905,138.712952,93.585503,125.180000,55.522861,19.658775
2018-03-06,240.179733,159.747849,140.210968,93.672668,126.529999,55.600544,19.608604
2018-03-07,240.091660,160.117493,141.447296,93.569626,125.720001,55.464581,19.591881
2018-03-08,241.253479,160.999008,141.158585,94.108818,125.419998,55.529327,19.717308
2018-03-09,245.451889,164.126862,143.414627,93.490326,125.540001,55.730038,19.692225
2018-03-12,245.143753,164.998917,143.667282,94.029518,125.540001,55.639420,19.667137
2018-03-13,243.559509,162.752502,142.999481,94.505226,125.779999,55.464581,19.616968
2018-03-14,242.309647,162.724075,142.322662,95.337791,125.699997,55.399834,19.625328
2018-03-15,242.045593,162.581924,141.609711,95.337791,124.900002,55.438683,19.700586
2018-03-16,242.308136,162.098480,142.403885,94.996887,124.599998,55.555233,19.750755
2018-03-19,239.029602,158.639923,141.032181,94.695526,124.870003,55.328609,19.667137
2018-03-20,239.436111,159.162079,140.996094,94.314941,124.309998,55.438683,19.784203
2018-03-21,238.976501,158.469040,141.817337,94.418015,126.480003,55.458111,19.625328
2018-03-22,233.002823,154.557663,138.707581,95.353622,125.980003,55.127907,19.650412
2018-03-23,228.036453,150.484863,135.722687,95.282326,127.610001,54.985432,19.583517
2018-03-26,234.275238,156.076630,138.689468,94.917549,128.279999,55.341553,19.491537
2018-03-27,230.289886,151.025925,136.003036,95.932465,127.489998,55.289761,19.583517
2018-03-28,229.609421,149.288651,135.957855,96.186180,125.730003,55.263870,19.759117
2018-03-29,232.543274,152.022812,137.332748,96.653992,125.790001,55.451633,19.742395
2018-04-02,227.523941,147.636703,133.985992,96.844704,127.260002,55.236431,19.734034
2018-04-03,230.440094,149.298111,135.903625,96.097809,126.300003,55.392452,19.767479
2018-04-04,232.905624,151.652527,137.631241,95.899147,126.449997,55.516010,19.759117
2018-04-05,234.743637,152.516510,138.770889,95.184029,125.800003,55.561485,19.834373
2018-04-06,229.512222,148.700027,136.003036,96.224960,126.389999,55.437977,19.759117
2018-04-09,230.643402,149.744324,136.165878,96.383850,126.820000,55.646038,19.708946
2018-04-10,234.310638,153.048157,138.734741,96.209030,127.120003,55.847553,19.658775
2018-04-11,233.082336,152.165176,139.033203,96.550690,128.110001,55.867088,19.642052
2018-04-12,234.999939,153.997498,139.982925,95.843513,126.620003,56.068615,19.683861
2018-04-13,234.310638,153.200012,139.250305,96.065987,127.449997,56.101116,19.683861
2018-04-16,236.237106,154.367783,140.534714,96.097809,127.629997,56.185646,19.616968
2018-04-17,238.764435,157.690567,142.063309,96.359993,127.750000,56.211624,19.616968
2018-04-18,238.941193,158.013336,142.443237,95.589279,127.849998,56.153133,19.658775
2018-04-19,237.615707,156.560806,141.457321,94.810555,127.599998,55.977600,19.717308
2018-04-20,235.600830,154.082977,140.697525,94.127228,126.629997,55.841103,19.834373
2018-04-23,235.565536,153.693710,140.489487,94.151009,125.620003,55.691544,19.959805
