,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-01-02,236.562149,150.222183,138.884415,99.093933,125.150002,56.092464,20.009977
2018-01-03,238.058502,151.681793,139.028748,99.567711,124.820000,56.362190,20.085232
2018-01-04,239.061783,151.947205,139.398758,99.551910,125.459999,56.458527,20.018339
2018-01-05,240.654922,153.473267,139.687576,99.267647,125.330002,56.497086,20.035061
2018-01-08,241.095047,154.070358,139.904160,99.204453,125.309998,56.452110,20.127041
2018-01-09,241.640778,154.079834,139.714661,97.877853,124.730003,56.278694,20.168852
2018-01-10,241.271057,153.719620,139.732697,97.759422,125.029999,56.156673,20.118679
2018-01-11,243.031372,154.771744,142.133163,98.162094,125.440002,56.342937,20.035061
2018-01-12,244.615723,155.909180,142.728790,98.327942,126.959999,56.246597,19.826015
2018-01-16,243.779526,155.463654,140.905869,98.738602,127.169998,56.214481,19.717308
2018-01-17,246.103134,157.141296,142.241455,98.604324,126.139999,56.220901,19.767481
2018-01-18,245.689560,157.169724,141.266830,97.688332,125.860001,56.163116,19.742395
2018-01-19,246.807220,157.662643,143.125870,97.175079,126.419998,56.220901,19.775843
2018-01-22,248.814041,159.349777,143.892914,97.269783,126.650002,56.272282,19.708948
2018-01-23,249.342148,160.667252,144.353165,97.688332,127.279999,56.439266,19.658775
2018-01-24,249.245377,159.624664,143.459732,97.159264,128.830002,56.355747,19.466454
2018-01-25,249.350952,159.567795,143.513870,97.956795,127.970001,56.317207,19.491539
2018-01-26,252.237946,162.013138,144.028244,97.593575,128.070007,56.362190,19.449728
2018-01-29,250.565613,161.226456,143.216003,96.914436,127.349998,56.163116,19.499899
2018-01-30,247.995575,159.899521,141.844421,96.345886,126.800003,55.970428,19.466454
2018-01-31,248.118805,160.562973,141.104401,96.914436,127.650002,56.066776,19.441368
2018-02-01,247.837112,159.198120,141.546555,95.509903,128.070007,55.961006,19.341024
2018-02-02,242.441666,156.022934,138.821213,94.623627,126.389999,55.606274,19.458092
2018-02-05,232.302185,149.871475,133.487869,95.517822,126.709999,55.296692,19.541712
2018-02-06,236.879044,153.842880,135.085175,94.924370,125.379997,55.632046,19.583519
2018-02-07,235.594040,151.852371,135.220474,94.022247,124.790001,55.425720,19.734032
2018-02-08,226.757126,145.445084,131.249847,93.919411,124.980003,54.941986,19.734032
2018-02-09,230.163361,147.956848,132.450043,93.325935,124.769997,54.787197,19.750755
2018-02-12,233.543167,150.582321,133.704391,93.737427,125.370003,55.161282,19.683865
2018-02-13,234.124115,151.359528,133.993210,94.156792,126.080002,54.987148,19.575157
2018-02-14,237.283951,154.193588,136.402649,93.112274,128.229996,55.083889,19.424641
2018-02-15,240.311691,157.056000,137.891693,93.428810,128.380005,55.528862,19.341024
2018-02-16,240.382172,156.354614,138.379013,93.935219,127.959999,55.754604,19.474815
2018-02-20,238.876968,156.667404,137.241959,93.523758,126.239998,55.561142,19.600243
2018-02-21,237.688751,156.221970,137.386398,92.376350,125.660004,55.309612,19.675499
2018-02-22,237.996857,156.202988,137.169769,92.653320,126.300003,55.348297,19.608604
2018-02-23,241.790344,159.397125,138.956589,93.476265,126.139999,55.715908,19.650415
2018-02-26,244.598099,161.510849,139.868027,93.507896,126.449997,55.812660,19.625328
2018-02-27,241.543854,159.510925,137.855637,93.373383,125.129997,55.664299,19.750755
2018-02-28,239.097046,158.487274,135.680756,93.966873,125.000000,55.580482,19.809290
2018-03-01,235.620453,155.899658,135.319778,94.608330,124.720001,55.212059,19.742395
2018-03-02,236.835022,157.330902,137.485672,93.839203,125.389999,55.522858,19.658775
2018-03-05,239.572281,159.074982,138.712982,93.585480,125.180000,55.522858,19.658775
2018-03-06,240.179596,159.747894,140.210938,93.672722,126.529999,55.600571,19.608604
2018-03-07,240.091644,160.117508,141.447281,93.569626,125.720001,55.464596,19.591881
2018-03-08,241.253418,160.998993,141.158585,94.108810,125.419998,55.529339,19.717308
2018-03-09,245.451828,164.126892,143.414581,93.490356,125.540001,55.730064,19.692223
2018-03-12,245.143799,164.998825,143.667282,94.029495,125.540001,55.639404,19.667137
2018-03-13,243.559479,162.752502,142.999496,94.505295,125.779999,55.464596,19.616966
2018-03-14,242.309647,162.724091,142.322693,95.337753,125.699997,55.399811,19.625328
2018-03-15,242.045593,162.581863,141.609772,95.337753,124.900002,55.438667,19.700584
2018-03-16,242.308044,162.098526,142.403885,94.996834,124.599998,55.555237,19.750755
2018-03-19,239.029572,158.639984,141.032242,94.695534,124.870003,55.328609,19.667137
2018-03-20,239.436127,159.162079,140.996078,94.314941,124.309998,55.438667,19.784203
2018-03-21,238.976486,158.469040,141.817307,94.417999,126.480003,55.458118,19.625328
2018-03-22,233.002823,154.557617,138.707596,95.353668,125.980003,55.127880,19.650415
